# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
5.466e+01	1.021e+03	1.082e-01	5.053e+02	9.982e-01
5.466e+01	2.853e+02	4.612e-03	1.185e+04	-1.361e+00
5.590e+01	2.808e+03	1.334e-01	4.191e+02	-1.100e+00
5.590e+01	1.036e+03	5.624e-02	9.939e+02	-5.873e-01
5.590e+01	1.760e+02	-1.594e-03	-3.507e+04	-1.651e+00
5.590e+01	1.308e+03	1.777e-01	3.145e+02	-9.902e-01
5.590e+01	6.715e+02	1.066e-01	5.242e+02	-1.259e-01
5.714e+01	2.613e+03	1.391e-01	4.108e+02	-1.146e+00
5.714e+01	1.003e+03	5.616e-02	1.018e+03	-7.895e-01
5.714e+01	6.007e+02	6.768e-03	8.443e+03	-1.468e+00
5.714e+01	8.418e+02	1.075e-01	5.314e+02	-7.374e-01
5.839e+01	8.582e+02	1.520e-02	3.842e+03	-1.365e+00
5.839e+01	7.158e+02	6.105e-02	9.564e+02	-6.324e-01
5.839e+01	2.149e+03	1.441e-01	4.053e+02	-1.128e+00
5.839e+01	1.109e+03	1.096e-01	5.328e+02	-1.159e+00
5.839e+01	9.422e+02	1.200e-01	4.867e+02	1.121e+00
5.963e+01	1.162e+03	2.534e-02	2.353e+03	-1.394e+00
5.963e+01	8.051e+02	6.341e-02	9.404e+02	-9.426e-01
5.963e+01	1.669e+03	1.470e-01	4.055e+02	-1.229e+00
5.963e+01	1.305e+03	1.095e-01	5.447e+02	-1.314e+00
7.453e+00	2.843e+02	1.658e-02	4.494e+02	1.081e-01
9.938e+00	8.864e+02	1.717e-01	5.786e+01	-7.635e-01
9.938e+00	2.636e+02	2.881e-02	3.450e+02	4.877e-02
1.118e+01	3.005e+02	3.453e-02	3.238e+02	-5.905e-01
1.242e+01	5.902e+02	3.862e-02	3.217e+02	-8.137e-01
1.366e+01	3.381e+02	5.370e-02	2.544e+02	9.267e-02
1.491e+01	5.777e+02	5.122e-02	2.910e+02	-4.223e-01
1.615e+01	5.600e+02	5.786e-02	2.791e+02	-7.803e-01
1.739e+01	6.836e+02	6.071e-02	2.865e+02	-6.748e-01
1.863e+01	8.993e+02	6.303e-02	2.956e+02	-7.413e-01
1.988e+01	1.085e+03	6.882e-02	2.888e+02	-8.440e-01
2.112e+01	1.015e+03	7.480e-02	2.823e+02	-7.790e-01
2.236e+01	1.355e+03	7.874e-02	2.840e+02	-8.966e-01
2.360e+01	1.300e+03	8.309e-02	2.841e+02	-8.157e-01
2.484e+01	1.277e+03	8.970e-02	2.770e+02	-9.059e-01
2.609e+01	1.665e+03	9.228e-02	2.827e+02	-9.452e-01
2.733e+01	1.644e+03	9.660e-02	2.829e+02	-9.204e-01
2.857e+01	1.699e+03	1.011e-01	2.825e+02	-8.986e-01
2.981e+01	1.785e+03	1.066e-01	2.798e+02	-8.269e-01
3.106e+01	1.903e+03	1.103e-01	2.817e+02	-7.715e-01
3.230e+01	1.828e+03	1.147e-01	2.817e+02	-8.076e-01
3.354e+01	2.310e+03	1.191e-01	2.817e+02	-9.100e-01
3.354e+01	5.502e+02	5.628e-02	5.959e+02	1.354e+00
3.478e+01	2.445e+03	1.242e-01	2.800e+02	-9.373e-01
3.478e+01	5.415e+02	5.895e-02	5.900e+02	1.199e+00
3.602e+01	2.310e+03	1.285e-01	2.804e+02	-9.381e-01
3.602e+01	6.586e+02	5.967e-02	6.037e+02	1.030e+00
3.727e+01	2.399e+03	1.314e-01	2.836e+02	-9.268e-01
3.727e+01	8.377e+02	6.447e-02	5.780e+02	1.134e+00
3.851e+01	2.801e+03	1.360e-01	2.831e+02	-9.983e-01
3.851e+01	8.593e+02	6.729e-02	5.723e+02	1.273e+00
3.975e+01	2.995e+03	1.422e-01	2.796e+02	-1.017e+00
3.975e+01	8.857e+02	7.300e-02	5.445e+02	1.231e+00
4.099e+01	3.787e+03	1.474e-01	2.781e+02	-1.080e+00
4.099e+01	8.130e+02	7.582e-02	5.407e+02	4.392e-01
4.099e+01	9.368e+02	9.310e-02	4.403e+02	-9.361e-01
4.224e+01	3.693e+03	1.516e-01	2.785e+02	-1.104e+00
4.224e+01	8.902e+02	1.093e-01	3.863e+02	-8.202e-01
4.224e+01	5.994e+02	8.743e-02	4.831e+02	4.166e-01
4.348e+01	3.414e+03	1.533e-01	2.835e+02	-1.174e+00
4.348e+01	7.535e+02	9.288e-02	4.681e+02	-1.299e-01
4.348e+01	9.496e+02	1.801e-01	2.414e+02	-9.323e-02
4.348e+01	3.929e+02	3.797e-02	1.145e+03	-2.886e-01
4.472e+01	3.760e+03	1.544e-01	2.896e+02	-1.193e+00
4.472e+01	7.932e+02	8.778e-02	5.095e+02	4.203e-01
4.472e+01	1.358e+03	1.221e-01	3.662e+02	-1.090e+00
4.472e+01	3.389e+02	1.036e-02	4.316e+03	-8.714e-01
4.596e+01	3.796e+03	1.595e-01	2.882e+02	-1.254e+00
4.596e+01	1.641e+03	1.211e-01	3.797e+02	-9.925e-01
4.596e+01	4.921e+02	1.589e-02	2.892e+03	-8.166e-01
4.596e+01	5.721e+02	8.123e-02	5.659e+02	6.528e-01
4.720e+01	3.550e+03	1.640e-01	2.878e+02	-1.280e+00
4.720e+01	1.796e+03	1.239e-01	3.809e+02	-9.796e-01
4.720e+01	5.426e+02	2.200e-02	2.146e+03	-7.501e-01
4.720e+01	4.678e+02	7.793e-02	6.057e+02	2.238e-01
4.845e+01	3.416e+03	1.677e-01	2.889e+02	-1.255e+00
4.845e+01	2.135e+03	1.239e-01	3.912e+02	-9.741e-01
4.845e+01	6.661e+02	2.945e-02	1.645e+03	-8.083e-01
4.845e+01	7.317e+02	7.840e-02	6.180e+02	-3.784e-01
4.845e+01	1.143e+03	1.949e-01	2.486e+02	-9.049e-01
4.969e+01	2.879e+03	1.693e-01	2.936e+02	-1.323e+00
4.969e+01	2.264e+03	1.252e-01	3.967e+02	-9.042e-01
4.969e+01	8.014e+02	3.319e-02	1.497e+03	-6.982e-01
4.969e+01	9.116e+02	8.636e-02	5.754e+02	1.710e+00
4.969e+01	5.065e+02	7.745e-02	6.415e+02	-3.008e-02
5.093e+01	2.548e+03	1.279e-01	3.982e+02	-9.135e-01
5.093e+01	2.465e+03	1.725e-01	2.952e+02	-1.301e+00
5.093e+01	8.838e+02	3.686e-02	1.382e+03	-7.854e-01
5.093e+01	1.233e+03	9.389e-02	5.425e+02	1.415e+00
5.093e+01	5.226e+02	7.921e-02	6.430e+02	-4.001e-01
5.217e+01	1.131e+03	4.246e-02	1.229e+03	-8.032e-01
5.217e+01	2.788e+03	1.311e-01	3.978e+02	-9.978e-01
5.217e+01	2.199e+03	1.725e-01	3.025e+02	-1.206e+00
5.217e+01	1.241e+03	1.017e-01	5.130e+02	1.417e+00
5.217e+01	5.951e+02	8.123e-02	6.423e+02	-5.869e-01
5.342e+01	2.868e+03	1.339e-01	3.988e+02	-1.010e+00
5.342e+01	1.289e+03	4.704e-02	1.136e+03	-7.679e-01
5.342e+01	2.173e+03	1.754e-01	3.046e+02	-1.173e+00
5.342e+01	1.318e+03	1.061e-01	5.033e+02	1.333e+00
5.342e+01	6.572e+02	8.285e-02	6.447e+02	-9.002e-01
5.466e+01	2.374e+03	1.329e-01	4.112e+02	-1.036e+00
5.466e+01	1.150e+03	5.158e-02	1.060e+03	-6.620e-01
5.466e+01	1.671e+03	1.763e-01	3.100e+02	-1.102e+00
5.466e+01	8.971e+02	1.106e-01	4.942e+02	9.685e-01
5.466e+01	3.102e+00	1.569e-11	3.483e+12	-3.142e+00
5.590e+01	2.478e+03	1.316e-01	4.248e+02	-1.328e+00
5.590e+01	1.029e+03	5.658e-02	9.880e+02	-5.131e-01
5.590e+01	4.428e+00	1.252e-12	4.463e+13	2.865e-08
5.590e+01	9.457e+02	1.719e-01	3.252e+02	-9.078e-01
5.714e+01	2.427e+03	1.372e-01	4.165e+02	-1.229e+00
5.714e+01	8.869e+02	6.128e-02	9.325e+02	-7.496e-01
5.714e+01	4.625e+02	6.075e-03	9.406e+03	-1.582e+00
5.714e+01	9.196e+02	1.788e-01	3.196e+02	-5.663e-01
5.714e+01	9.495e+02	1.015e-01	5.632e+02	-1.247e+00
5.839e+01	8.121e+02	1.726e-02	3.383e+03	-1.465e+00
5.839e+01	6.997e+02	6.099e-02	9.572e+02	-7.392e-01
5.839e+01	1.664e+03	1.458e-01	4.006e+02	-1.176e+00
5.839e+01	9.407e+02	1.137e-01	5.133e+02	1.521e+00
5.963e+01	7.992e+02	2.495e-02	2.390e+03	-1.336e+00
5.963e+01	7.458e+02	6.548e-02	9.106e+02	-8.607e-01
5.963e+01	1.641e+03	1.442e-01	4.134e+02	-1.415e+00
5.963e+01	1.277e+03	1.085e-01	5.497e+02	-1.431e+00
5.963e+01	7.444e+01	-7.477e-03	-7.975e+03	-3.181e-01
7.453e+00	2.702e+02	1.691e-02	4.408e+02	-4.703e-01
8.696e+00	2.300e+02	2.200e-02	3.952e+02	-4.660e-01
9.938e+00	3.889e+02	2.262e-02	4.394e+02	-7.507e-01
1.118e+01	3.474e+02	3.478e-02	3.215e+02	-6.115e-01
1.242e+01	4.010e+02	3.946e-02	3.148e+02	-5.998e-01
1.366e+01	3.310e+02	4.090e-02	3.341e+02	-6.181e-01
1.491e+01	5.640e+02	5.067e-02	2.942e+02	-8.818e-01
1.615e+01	7.694e+02	5.392e-02	2.995e+02	-6.284e-01
1.739e+01	6.384e+02	5.874e-02	2.961e+02	-6.783e-01
1.863e+01	1.027e+03	6.468e-02	2.881e+02	-7.881e-01
1.988e+01	1.370e+03	6.989e-02	2.844e+02	-8.316e-01
2.112e+01	1.023e+03	7.365e-02	2.867e+02	-7.322e-01
2.236e+01	1.419e+03	7.868e-02	2.842e+02	-8.726e-01
2.360e+01	1.528e+03	8.329e-02	2.834e+02	-8.143e-01
2.484e+01	1.391e+03	8.910e-02	2.788e+02	-8.935e-01
2.609e+01	1.864e+03	9.223e-02	2.828e+02	-9.299e-01
2.733e+01	1.681e+03	9.662e-02	2.829e+02	-8.914e-01
2.857e+01	1.813e+03	1.011e-01	2.826e+02	-8.944e-01
2.981e+01	1.993e+03	1.061e-01	2.809e+02	-8.343e-01
3.106e+01	1.663e+03	1.098e-01	2.829e+02	-7.529e-01
3.230e+01	2.125e+03	1.139e-01	2.835e+02	-8.366e-01
3.230e+01	5.552e+02	5.187e-02	6.227e+02	1.388e+00
3.354e+01	2.317e+03	1.189e-01	2.821e+02	-8.886e-01
3.354e+01	5.888e+02	5.523e-02	6.073e+02	1.319e+00
3.478e+01	2.304e+03	1.238e-01	2.810e+02	-9.228e-01
3.478e+01	5.829e+02	6.021e-02	5.777e+02	1.263e+00
3.602e+01	2.451e+03	1.277e-01	2.821e+02	-9.148e-01
3.602e+01	6.824e+02	5.962e-02	6.043e+02	1.065e+00
3.727e+01	2.100e+03	1.304e-01	2.858e+02	-8.752e-01
3.727e+01	8.472e+02	6.494e-02	5.739e+02	1.215e+00
3.851e+01	2.739e+03	1.353e-01	2.847e+02	-9.364e-01
3.851e+01	9.557e+02	6.788e-02	5.673e+02	1.369e+00
3.975e+01	3.423e+03	1.408e-01	2.823e+02	-9.799e-01
3.975e+01	1.437e+03	7.465e-02	5.325e+02	1.127e+00
3.975e+01	7.208e+02	9.023e-02	4.405e+02	-5.795e-01
3.975e+01	2.007e+03	2.311e-01	1.720e+02	-1.686e+00
4.099e+01	3.453e+03	1.476e-01	2.778e+02	-1.074e+00
4.099e+01	8.820e+02	7.748e-02	5.291e+02	8.022e-01
4.099e+01	8.269e+02	9.695e-02	4.228e+02	-7.041e-01
