# WaveDec output file
# Frequency	Amplitude	Wavenumber	Velocity	Azimuth	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]	[rad]
7.849e+00	7.162e-04	4.192e-02	1.872e+02	-7.044e-01	6.854e-01
8.099e+00	5.775e-04	4.320e-02	1.875e+02	-2.092e+00	6.435e-01
8.349e+00	5.295e-04	3.970e-02	2.103e+02	1.304e+00	3.250e-01
8.599e+00	5.693e-04	4.583e-02	1.876e+02	-2.575e+00	7.130e-01
8.849e+00	5.566e-04	5.544e-02	1.596e+02	-8.551e-01	1.036e-01
9.599e+00	4.576e-04	5.408e-02	1.775e+02	-2.000e+00	2.549e-01
9.849e+00	5.590e-04	3.976e-02	2.477e+02	9.879e-01	-6.281e-01
1.035e+01	4.425e-04	4.777e-02	2.166e+02	-2.321e+00	2.001e-01
3.450e+00	1.044e-03	9.464e-03	3.645e+02	-2.309e+00	-9.739e-01
3.700e+00	1.012e-03	1.021e-02	3.623e+02	-1.067e+00	-2.629e-01
3.950e+00	1.270e-03	9.018e-03	4.379e+02	6.772e-01	5.106e-01
4.699e+00	9.822e-04	2.101e-02	2.236e+02	9.942e-01	4.626e-01
5.149e+00	1.327e-03	1.308e-02	3.937e+02	-2.524e+00	-1.554e+00
5.399e+00	1.003e-03	1.200e-02	4.500e+02	-2.890e+00	-1.402e+00
6.149e+00	8.999e-04	3.135e-02	1.962e+02	-2.247e+00	4.300e-01
6.399e+00	9.699e-04	3.116e-02	2.054e+02	9.280e-01	4.226e-01
7.149e+00	6.159e-04	4.280e-02	1.670e+02	2.166e+00	3.197e-01
7.399e+00	7.719e-04	4.250e-02	1.741e+02	-1.796e-01	1.580e-01
7.649e+00	5.701e-04	4.337e-02	1.764e+02	-2.451e+00	9.247e-01
7.849e+00	8.249e-04	2.386e-02	3.290e+02	1.032e+00	-9.405e-01
8.099e+00	6.695e-04	4.423e-02	1.831e+02	-1.983e+00	9.365e-01
8.349e+00	5.699e-04	4.590e-02	1.819e+02	-2.014e+00	-2.767e-01
8.599e+00	4.646e-04	4.448e-02	1.933e+02	-2.124e+00	8.317e-01
8.849e+00	5.052e-04	4.490e-02	1.971e+02	8.158e-01	6.002e-01
9.349e+00	3.936e-04	5.125e-02	1.824e+02	-2.794e+00	3.414e-01
9.599e+00	5.469e-04	5.266e-02	1.823e+02	-2.113e+00	3.908e-01
9.849e+00	4.395e-04	5.250e-02	1.876e+02	9.750e-01	8.466e-01
1.010e+01	4.809e-04	5.187e-02	1.947e+02	-2.207e+00	7.323e-01
1.035e+01	3.880e-04	1.635e-02	6.331e+02	8.693e-01	-1.497e+00
1.060e+01	3.946e-04	6.110e-02	1.735e+02	-2.299e+00	1.034e+00
2.200e+00	1.932e-03	2.209e-03	9.957e+02	-2.423e+00	-1.602e+00
2.450e+00	1.206e-03	6.527e-03	3.753e+02	-2.054e+00	-1.472e+00
3.450e+00	1.052e-03	4.739e-03	7.278e+02	-2.513e+00	1.519e-02
4.199e+00	7.619e-04	1.945e-02	2.159e+02	5.968e-01	3.346e-01
4.449e+00	1.543e-03	1.093e-02	4.071e+02	1.018e+00	1.207e+00
4.699e+00	1.469e-03	1.121e-02	4.192e+02	-2.640e+00	1.380e+00
5.149e+00	1.228e-03	1.138e-02	4.524e+02	-2.462e+00	-1.498e+00
5.399e+00	1.110e-03	1.334e-02	4.047e+02	8.746e-01	-1.395e+00
5.649e+00	6.338e-04	3.127e-02	1.807e+02	-2.291e+00	3.185e-01
5.899e+00	8.568e-04	1.425e-02	4.139e+02	-2.328e+00	-1.315e+00
6.149e+00	7.214e-04	3.513e-02	1.750e+02	-1.400e+00	-5.332e-01
6.399e+00	6.735e-04	3.662e-02	1.747e+02	-2.360e+00	5.477e-01
6.649e+00	6.693e-04	2.571e-02	2.586e+02	-1.800e+00	-6.992e-01
7.149e+00	7.516e-04	1.958e-02	3.651e+02	1.073e+00	-9.975e-01
7.399e+00	7.066e-04	3.743e-02	1.977e+02	-2.676e+00	2.645e-01
8.349e+00	4.100e-04	5.854e-02	1.426e+02	-2.244e+00	6.212e-01
8.599e+00	4.561e-04	4.353e-02	1.975e+02	1.207e+00	7.362e-01
8.849e+00	4.262e-04	5.202e-02	1.701e+02	-2.257e+00	-1.073e-01
9.599e+00	3.896e-04	4.959e-02	1.936e+02	-5.894e-01	5.215e-01
1.035e+01	3.569e-04	5.648e-02	1.832e+02	-1.307e+00	4.183e-01
1.060e+01	3.909e-04	6.059e-02	1.749e+02	-1.438e+00	5.159e-01
3.950e+00	9.752e-04	9.222e-03	4.283e+02	3.584e-01	-2.207e-01
4.199e+00	1.018e-03	1.202e-02	3.494e+02	2.829e+00	5.429e-01
4.449e+00	1.122e-03	1.674e-02	2.658e+02	-1.842e-01	6.379e-01
4.699e+00	1.187e-03	7.890e-03	5.956e+02	1.570e+00	1.088e+00
4.899e+00	1.164e-03	8.701e-03	5.631e+02	-1.774e+00	-1.565e+00
