# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
3.600e+01	1.852e+03	5.949e-02	6.051e+02	-1.624e-01
3.600e+01	2.733e+03	4.200e-01	8.571e+01	-7.087e-02
3.600e+01	3.603e+03	7.305e-01	4.928e+01	-7.484e-02
3.800e+01	7.171e+03	1.376e-01	2.761e+02	6.250e-01
3.800e+01	1.875e+03	6.485e-02	5.859e+02	-1.471e-01
3.800e+01	4.405e+03	7.400e-01	5.135e+01	-7.097e-02
3.800e+01	2.657e+03	4.238e-01	8.965e+01	-6.267e-02
4.000e+01	9.877e+03	1.438e-01	2.781e+02	6.110e-01
4.000e+01	1.601e+03	7.744e-02	5.165e+02	-4.659e-01
4.000e+01	4.929e+03	7.454e-01	5.366e+01	-5.013e-02
4.000e+01	3.648e+03	4.232e-01	9.452e+01	-4.374e-02
4.000e+01	7.409e+02	3.495e-02	1.144e+03	1.642e-01
4.200e+01	1.202e+04	1.520e-01	2.763e+02	5.771e-01
4.200e+01	2.700e+03	8.346e-02	5.032e+02	-4.964e-01
4.200e+01	6.625e+03	7.540e-01	5.571e+01	-6.900e-02
4.200e+01	4.019e+03	4.334e-01	9.690e+01	-5.013e-02
4.200e+01	2.825e+03	3.772e-01	1.114e+02	-1.250e-01
4.400e+01	1.187e+04	1.601e-01	2.749e+02	5.496e-01
4.400e+01	4.109e+03	8.807e-02	4.996e+02	-3.544e-01
4.400e+01	6.815e+03	7.656e-01	5.747e+01	-5.734e-02
4.400e+01	4.270e+03	4.473e-01	9.838e+01	-1.061e-03
4.400e+01	8.877e+02	4.124e-02	1.067e+03	3.094e-01
4.600e+01	1.221e+04	1.670e-01	2.754e+02	5.366e-01
4.600e+01	4.446e+03	9.547e-02	4.818e+02	-2.690e-01
4.600e+01	7.000e+03	7.693e-01	5.979e+01	-9.897e-02
4.600e+01	1.903e+03	4.986e-02	9.227e+02	2.432e-01
4.600e+01	3.364e+03	4.396e-01	1.047e+02	-2.137e-03
4.800e+01	1.196e+04	1.752e-01	2.739e+02	5.818e-01
4.800e+01	3.907e+03	9.913e-02	4.842e+02	-5.797e-01
4.800e+01	1.003e+04	7.843e-01	6.120e+01	-9.688e-02
4.800e+01	5.444e+03	4.081e-01	1.176e+02	-7.059e-02
4.800e+01	1.671e+03	4.745e-02	1.012e+03	2.375e-01
5.000e+01	1.135e+04	1.836e-01	2.724e+02	5.762e-01
5.000e+01	5.064e+03	1.059e-01	4.719e+02	-5.040e-01
5.000e+01	1.078e+04	7.899e-01	6.330e+01	-8.227e-02
5.000e+01	6.062e+03	4.179e-01	1.197e+02	-6.394e-02
5.000e+01	2.110e+03	5.896e-02	8.480e+02	1.802e-01
5.200e+01	1.110e+04	1.922e-01	2.706e+02	6.264e-01
5.200e+01	5.002e+03	1.102e-01	4.720e+02	-6.553e-01
5.200e+01	1.061e+04	8.810e-01	5.902e+01	-1.366e-01
5.200e+01	6.815e+03	5.072e-01	1.025e+02	-4.131e-02
5.200e+01	6.818e+03	8.140e-01	6.388e+01	-4.302e-02
5.400e+01	1.174e+04	2.023e-01	2.670e+02	5.129e-01
5.400e+01	7.097e+03	1.172e-01	4.607e+02	-5.235e-01
5.400e+01	5.120e+03	8.297e-02	6.509e+02	-1.135e-02
5.400e+01	8.203e+03	8.600e-01	6.279e+01	-2.460e-01
5.400e+01	5.040e+03	4.694e-01	1.150e+02	-5.252e-02
5.600e+01	7.630e+03	1.240e-01	4.515e+02	-5.114e-01
5.600e+01	9.072e+03	2.136e-01	2.622e+02	4.617e-01
5.600e+01	6.017e+03	9.838e-02	5.692e+02	-7.106e-02
5.600e+01	3.917e+03	4.493e-01	1.246e+02	-3.792e-02
5.600e+01	1.111e+03	3.841e-02	1.458e+03	-2.484e-01
5.800e+01	1.001e+04	1.252e-01	4.631e+02	-3.968e-01
5.800e+01	1.064e+04	2.279e-01	2.545e+02	4.052e-01
5.800e+01	4.820e+03	2.033e-01	2.853e+02	6.102e-01
5.800e+01	6.540e+03	9.007e-01	6.440e+01	-1.526e-02
5.800e+01	3.894e+03	5.394e-01	1.075e+02	2.228e-01
6.000e+01	1.040e+04	1.322e-01	4.538e+02	-4.492e-01
6.000e+01	1.229e+04	2.320e-01	2.586e+02	3.518e-01
6.000e+01	7.877e+03	8.959e-01	6.697e+01	3.007e-02
6.000e+01	4.341e+03	2.071e-01	2.898e+02	4.873e-01
6.000e+01	6.839e+02	4.099e-02	1.464e+03	1.265e+00
6.200e+01	1.065e+04	1.387e-01	4.469e+02	-4.516e-01
6.200e+01	1.088e+04	2.375e-01	2.611e+02	3.327e-01
6.200e+01	8.744e+03	8.806e-01	7.040e+01	-5.517e-02
6.200e+01	1.521e+03	4.595e-02	1.349e+03	-5.428e-01
6.200e+01	1.689e+03	1.645e-01	3.768e+02	1.477e+00
6.400e+01	1.360e+04	1.411e-01	4.535e+02	-3.763e-01
6.400e+01	7.861e+03	2.416e-01	2.649e+02	3.416e-01
6.400e+01	5.574e+03	9.700e-02	6.598e+02	-7.570e-02
6.400e+01	2.200e+03	1.760e-01	3.636e+02	1.467e+00
6.400e+01	6.067e+03	5.567e-01	1.150e+02	6.211e-02
6.600e+01	1.310e+04	1.479e-01	4.462e+02	-3.994e-01
6.600e+01	6.907e+03	2.322e-01	2.842e+02	4.599e-01
6.600e+01	3.392e+03	2.684e-01	2.459e+02	-2.159e+00
6.600e+01	4.984e+03	1.092e-01	6.041e+02	-1.184e-01
6.600e+01	5.376e+03	5.504e-01	1.199e+02	1.960e-01
6.800e+01	1.128e+04	1.569e-01	4.334e+02	-4.935e-01
6.800e+01	4.901e+03	2.039e-01	3.334e+02	8.254e-01
6.800e+01	4.073e+03	2.651e-01	2.565e+02	9.485e-01
6.800e+01	4.769e+03	1.109e-01	6.131e+02	-7.136e-03
6.800e+01	4.383e+03	8.090e-01	8.405e+01	9.211e-01
7.000e+01	1.121e+04	1.664e-01	4.207e+02	-4.934e-01
7.000e+01	4.917e+03	2.107e-01	3.322e+02	8.619e-01
7.000e+01	5.204e+03	2.756e-01	2.540e+02	5.978e-01
7.000e+01	5.562e+03	1.323e-01	5.290e+02	-1.785e-01
7.000e+01	8.772e+03	8.776e-01	7.976e+01	1.415e-01
7.200e+01	1.291e+04	1.696e-01	4.246e+02	-3.096e-01
7.200e+01	1.353e+04	2.979e-01	2.417e+02	1.252e-01
7.200e+01	2.446e+03	4.674e-02	1.540e+03	-4.792e-01
7.200e+01	4.303e+03	2.208e-01	3.261e+02	6.287e-01
7.200e+01	7.696e+03	4.379e-01	1.644e+02	4.316e-02
7.400e+01	1.321e+04	1.754e-01	4.219e+02	-2.599e-01
7.400e+01	1.622e+04	3.013e-01	2.456e+02	1.254e-01
7.400e+01	2.625e+03	6.073e-02	1.219e+03	-7.937e-01
7.400e+01	4.010e+03	2.328e-01	3.178e+02	6.919e-01
7.400e+01	7.909e+03	4.507e-01	1.642e+02	-4.229e-02
7.600e+01	1.144e+04	1.813e-01	4.193e+02	-3.328e-01
7.600e+01	1.739e+04	3.105e-01	2.448e+02	1.273e-01
7.600e+01	2.137e+03	6.669e-02	1.140e+03	-1.333e+00
7.600e+01	9.636e+03	4.575e-01	1.661e+02	-5.451e-02
7.600e+01	9.596e+03	5.790e-01	1.313e+02	-4.420e-02
7.800e+01	9.043e+03	1.896e-01	4.115e+02	-4.318e-01
7.800e+01	1.291e+04	3.162e-01	2.466e+02	1.336e-01
7.800e+01	2.134e+03	7.114e-02	1.096e+03	1.154e+00
